209758	GEZ0001S	17/02/2022 14:30	03/03/2022 14:30
209753	GEZ0002S	-	15/01/1970 00:59
209752	GEZ0004S	17/02/2022 11:45	03/03/2022 11:45
209468	GEZ0002S	31/01/2022 10:00	14/02/2022 10:00
209466	GEZ0003S	31/01/2022 08:15	14/02/2022 08:15
209390	GEZ0004S	26/01/2022 14:15	09/02/2022 14:15
209385	GEZ0005S	26/01/2022 10:45	09/02/2022 10:45
209383	GEZ0001S	26/01/2022 10:00	09/02/2022 10:00
209228	GEZ0005S	17/01/2022 12:45	31/01/2022 12:45
209200	GEZ0003S	14/01/2022 15:45	28/01/2022 15:45
209024	GEZ0001S	-	15/01/1970 00:59
209010	GEZ0002S	04/01/2022 14:45	18/01/2022 14:45
209007	GEZ0003S	04/01/2022 13:45	18/01/2022 13:45
209006	GEZ0005S	04/01/2022 12:45	18/01/2022 12:45
209001	GEZ0004S	04/01/2022 09:15	18/01/2022 09:15
208813	GEZ0004S	14/12/2021 15:30	28/12/2021 15:30
208801	GEZ0002S	14/12/2021 11:25	28/12/2021 11:25
208780	GEZ0001S	13/12/2021 10:15	27/12/2021 10:15
208777	GEZ0005S	13/12/2021 09:45	27/12/2021 09:45
208763	GEZ0003S	11/12/2021 12:00	25/12/2021 12:00
208742	GEZ0004S	10/12/2021 12:30	24/12/2021 12:30
208319	GEZ0002S	18/11/2021 13:30	02/12/2021 13:30
208317	GEZ0003S	18/11/2021 12:30	02/12/2021 12:30
208308	GEZ0005S	18/11/2021 09:45	02/12/2021 09:45
208150	GEZ0004S	10/11/2021 12:30	24/11/2021 12:30
208140	GEZ0001S	10/11/2021 09:00	24/11/2021 09:00
207895	GEZ0004S	27/10/2021 13:30	10/11/2021 12:30
207883	GEZ0001S	27/10/2021 06:45	10/11/2021 05:45
207851	GEZ0002S	25/10/2021 16:10	08/11/2021 15:10
207844	GEZ0005S	25/10/2021 12:00	08/11/2021 11:00
207836	GEZ0003S	25/10/2021 08:35	08/11/2021 07:35
207798	GEZ0001S	21/10/2021 17:00	04/11/2021 16:00
207796	GEZ0002S	21/10/2021 16:45	04/11/2021 15:45
207795	GEZ0003S	21/10/2021 16:15	04/11/2021 15:15
207480	GEZ0005S	07/10/2021 14:30	21/10/2021 14:30
207468	GEZ0001S	07/10/2021 11:30	21/10/2021 11:30
207466	GEZ0003S	07/10/2021 11:15	21/10/2021 11:15
207459	GEZ0004S	07/10/2021 07:20	21/10/2021 07:20
207458	GEZ0002S	07/10/2021 07:15	21/10/2021 07:15
207218	GEZ0004S	23/09/2021 11:45	07/10/2021 11:45
207217	GEZ0003S	23/09/2021 10:45	07/10/2021 10:45
207214	GEZ0002S	23/09/2021 08:30	07/10/2021 08:30
207208	GEZ0005S	23/09/2021 07:35	07/10/2021 07:35
207205	GEZ0001S	23/09/2021 06:45	07/10/2021 06:45
206978	GEZ0004S	09/09/2021 11:30	23/09/2021 11:30
206970	GEZ0003S	09/09/2021 07:00	23/09/2021 07:00
206941	GEZ0002S	07/09/2021 15:45	21/09/2021 15:45
206939	GEZ0001S	07/09/2021 15:00	21/09/2021 15:00
206938	GEZ0005S	07/09/2021 14:30	21/09/2021 14:30
206744	GEZ0004S	25/08/2021 09:45	08/09/2021 09:45
206731	GEZ0001S	24/08/2021 15:15	07/09/2021 15:15
206722	GEZ0005S	24/08/2021 12:05	07/09/2021 12:05
206717	GEZ0002S	24/08/2021 10:15	07/09/2021 10:15
