2	11/02/2019 17:30	A	3	7.70	596.5	10.6	LOADING	29500	3415.0	452	57
1	11/02/2019 17:30	B	2	7.71	610.9	11.2	LOADING	29500	29260.0	292	0
2	11/02/2019 17:45	A	3	7.70	596.9	10.6	LOADING	29500	9805.0	401	49
1	11/02/2019 17:45	B	2	7.71	611.2	11.1	OFFLINE	29500	29510.0	0	0
2	11/02/2019 18:00	A	3	7.71	596.5	10.7	LOADING	29500	15490.0	356	39
1	11/02/2019 18:00	B	2	7.71	611.9	11.0	OFFLINE	29500	29510.0	0	0
2	11/02/2019 18:15	A	3	7.71	596.2	10.6	LOADING	29500	20490.0	311	28
1	11/02/2019 18:15	B	2	7.71	611.6	10.9	OFFLINE	29500	29510.0	0	0
2	11/02/2019 18:30	A	3	7.71	596.6	10.7	LOADING	29500	24725.0	251	19
1	11/02/2019 18:30	B	2	7.71	612.2	10.8	OFFLINE	29500	29510.0	0	0
2	11/02/2019 18:45	A	3	7.71	597.2	10.5	OFFLINE	29500	29525.0	0	0
1	11/02/2019 18:45	B	2	7.71	612.8	10.8	OFFLINE	29500	29510.0	0	0
2	11/02/2019 19:00	A	3	7.72	597.6	10.4	OFFLINE	29500	29525.0	0	0
1	11/02/2019 19:00	B	2	7.71	611.9	10.7	OFFLINE	29500	29510.0	0	0
2	11/02/2019 19:15	A	3	7.72	597.6	10.3	OFFLINE	29500	29525.0	0	0
1	11/02/2019 19:15	B	2	7.71	612.6	10.6	OFFLINE	29500	29510.0	0	0
2	11/02/2019 19:30	A	3	7.72	598.0	10.2	OFFLINE	29500	29525.0	0	0
1	11/02/2019 19:30	B	2	7.71	612.5	10.6	OFFLINE	29500	29510.0	0	0
2	11/02/2019 19:45	A	3	7.72	597.8	10.1	OFFLINE	29500	29525.0	0	0
1	11/02/2019 19:45	B	2	7.71	612.8	10.5	OFFLINE	29500	29510.0	0	0
2	11/02/2019 20:00	A	3	7.72	599.2	9.9	OFFLINE	29500	29525.0	0	0
1	11/02/2019 20:00	B	2	7.71	613.2	10.4	OFFLINE	29500	29510.0	0	0
2	11/02/2019 20:15	A	3	7.73	598.5	9.8	OFFLINE	29500	29525.0	0	0
1	11/02/2019 20:15	B	2	7.72	612.4	10.4	OFFLINE	29500	29510.0	0	0
2	11/02/2019 20:30	A	3	7.73	599.2	9.8	OFFLINE	29500	29525.0	0	0
1	11/02/2019 20:30	B	2	7.72	612.9	10.3	OFFLINE	29500	29510.0	0	0
2	11/02/2019 20:45	A	3	7.73	598.8	9.7	OFFLINE	29500	29525.0	0	0
1	11/02/2019 20:45	B	2	7.72	612.8	10.3	OFFLINE	29500	29510.0	0	0
2	11/02/2019 21:00	A	3	7.73	598.8	9.6	OFFLINE	29500	29525.0	0	0
1	11/02/2019 21:00	B	2	7.72	612.9	10.2	OFFLINE	29500	29510.0	0	0
2	11/02/2019 21:15	A	3	7.73	599.4	9.4	OFFLINE	29500	29525.0	0	0
1	11/02/2019 21:15	B	2	7.72	613.9	10.1	OFFLINE	29500	29510.0	0	0
2	11/02/2019 21:30	A	3	7.74	598.6	9.4	OFFLINE	29500	29525.0	0	0
1	11/02/2019 21:30	B	2	7.72	613.1	10.0	OFFLINE	29500	29510.0	0	0
2	11/02/2019 21:45	A	3	7.74	599.1	9.3	OFFLINE	29500	29525.0	0	0
1	11/02/2019 21:45	B	2	7.72	613.4	10.0	OFFLINE	29500	29510.0	0	0
2	11/02/2019 22:00	A	3	7.74	599.6	9.2	OFFLINE	29500	29525.0	0	0
1	11/02/2019 22:00	B	2	7.72	613.6	9.9	OFFLINE	29500	29510.0	0	0
2	11/02/2019 22:15	A	3	7.74	600.1	9.1	OFFLINE	29500	29525.0	0	0
1	11/02/2019 22:15	B	2	7.72	614.1	9.8	OFFLINE	29500	29510.0	0	0
2	11/02/2019 22:30	A	3	7.74	600.1	9.0	OFFLINE	29500	29525.0	0	0
1	11/02/2019 22:30	B	2	7.72	614.2	9.8	OFFLINE	29500	29510.0	0	0
2	11/02/2019 22:45	A	3	7.74	599.9	8.9	OFFLINE	29500	29525.0	0	0
1	11/02/2019 22:45	B	2	7.72	613.1	10.0	OFFLINE	29500	29510.0	0	0
2	11/02/2019 23:00	A	3	7.75	599.9	8.8	OFFLINE	29500	29525.0	0	0
1	11/02/2019 23:00	B	2	7.72	613.4	10.2	OFFLINE	29500	29510.0	0	0
2	11/02/2019 23:15	A	3	7.75	600.8	8.6	OFFLINE	29500	29525.0	0	0
1	11/02/2019 23:15	B	2	7.72	613.6	10.1	OFFLINE	29500	29510.0	0	0
2	11/02/2019 23:30	A	3	7.75	601.0	8.6	OFFLINE	29500	29525.0	0	0
1	11/02/2019 23:30	B	2	7.72	613.2	10.1	OFFLINE	29500	29510.0	0	0
2	11/02/2019 23:45	A	3	7.75	600.6	8.5	OFFLINE	29500	29525.0	0	0
1	11/02/2019 23:45	B	2	7.72	613.8	10.0	OFFLINE	29500	29510.0	0	0
2	12/02/2019 00:00	A	3	7.75	599.9	8.4	OFFLINE	29500	29525.0	0	0
1	12/02/2019 00:00	B	2	7.72	614.1	9.9	OFFLINE	29500	29510.0	0	0
