2016	1	9628.49
2016	2	8332.90
2016	3	6412.91
2016	4	8932.11
2016	5	6834.49
2016	6	7284.48
2016	7	8770.82
2016	8	7016.19
2016	9	9128.91
2016	10	9529.60
2016	11	7302.64
2016	12	10921.95
2017	1	7584.74
2017	2	8844.54
2017	3	7380.49
2017	4	8958.59
2017	5	7515.36
2017	6	8157.31
2017	7	9584.46
2017	8	9999.78
2017	9	7667.07
2017	10	10871.65
2017	11	10054.11
2017	12	9431.63
2018	1	7315.35
2018	2	6973.11
2018	3	7648.11
2018	4	8540.64
2018	5	7673.54
2018	6	7381.58
2018	7	10377.30
2018	8	8093.18
2018	9	8794.06
2018	10	10040.79
2018	11	6956.86
2018	12	8991.50
2019	1	8067.95
2019	2	7213.09
2019	3	7586.24
2019	4	6219.12
2019	5	6233.91
2019	6	7481.78
2019	7	6392.26
2019	8	6907.49
2019	9	9138.39
2019	10	13101.65
2019	11	6472.00
2019	12	10723.31
2020	1	6119.67
2020	2	7278.22
2020	3	9113.54
2020	4	7256.95
2020	5	6524.11
2020	6	7598.40
2020	7	7516.87
2020	8	6492.24
2020	9	9375.58
2020	10	10024.90
2020	11	11756.15
2020	12	7838.22
2021	1	6842.27
2021	2	7926.61
2021	3	8470.96
2021	4	6649.84
2021	5	6510.57
2021	6	6250.37
2021	7	8053.28
2021	8	6417.89
2021	9	7167.91
2021	10	12019.32
2021	11	7335.23
2021	12	6695.29
2022	1	8459.78
2022	2	5589.92
2022	3	
2022	4	
2022	5	
2022	6	
2022	7	
2022	8	
2022	9	
2022	10	
2022	11	
2022	12	
2023	1	
2023	2	
2023	3	
2023	4	
2023	5	
2023	6	
2023	7	
2023	8	
2023	9	
2023	10	
2023	11	
2023	12	
2024	1	
2024	2	
2024	3	
2024	4	
2024	5	
2024	6	
2024	7	
2024	8	
2024	9	
2024	10	
2024	11	
2024	12	
2025	1	
2025	2	
2025	3	
2025	4	
2025	5	
2025	6	
2025	7	
2025	8	
2025	9	
2025	10	
2025	11	
2025	12	
2026	1	
2026	2	
2026	3	
2026	4	
2026	5	
2026	6	
2026	7	
2026	8	
2026	9	
2026	10	
2026	11	
2026	12	
2027	1	
2027	2	
2027	3	
2027	4	
2027	5	
2027	6	
2027	7	
2027	8	
2027	9	
2027	10	
2027	11	
2027	12	
2028	1	
2028	2	
2028	3	
2028	4	
2028	5	
2028	6	
2028	7	
2028	8	
2028	9	
2028	10	
2028	11	
2028	12	
2029	1	
2029	2	
2029	3	
2029	4	
2029	5	
2029	6	
2029	7	
2029	8	
2029	9	
2029	10	
2029	11	
2029	12	
2030	1	
2030	2	
2030	3	
2030	4	
2030	5	
2030	6	
2030	7	
2030	8	
2030	9	
2030	10	
2030	11	
2030	12	
