3	11/02/2019 17:30	A	69.8	OFF	110.0	CLOSED
2	11/02/2019 17:30	B	54.9	OFF	110.0	CLOSED
1	11/02/2019 17:30	Offline	0.0	OFF	0.0	CLOSED
3	11/02/2019 17:45	A	63.4	OFF	110.0	CLOSED
2	11/02/2019 17:45	B	54.6	OFF	110.0	CLOSED
1	11/02/2019 17:45	Offline	0.1	OFF	0.0	CLOSED
3	11/02/2019 18:00	A	57.9	OFF	110.0	CLOSED
2	11/02/2019 18:00	B	54.6	OFF	110.0	CLOSED
1	11/02/2019 18:00	Offline	0.0	OFF	0.0	CLOSED
3	11/02/2019 18:15	A	52.9	OFF	110.0	CLOSED
2	11/02/2019 18:15	B	54.6	OFF	110.0	CLOSED
1	11/02/2019 18:15	Offline	0.0	OFF	0.0	CLOSED
3	11/02/2019 18:30	A	49.1	OFF	110.0	CLOSED
2	11/02/2019 18:30	B	54.6	OFF	110.0	CLOSED
1	11/02/2019 18:30	Offline	0.0	OFF	0.0	CLOSED
3	11/02/2019 18:45	A	44.3	OFF	110.0	CLOSED
2	11/02/2019 18:45	B	54.8	OFF	110.0	CLOSED
1	11/02/2019 18:45	Offline	0.0	OFF	0.0	CLOSED
3	11/02/2019 19:00	A	44.3	OFF	110.0	CLOSED
2	11/02/2019 19:00	B	54.7	OFF	110.0	CLOSED
1	11/02/2019 19:00	Offline	0.1	OFF	0.0	CLOSED
3	11/02/2019 19:15	A	44.1	OFF	110.0	CLOSED
2	11/02/2019 19:15	B	54.5	OFF	110.0	CLOSED
1	11/02/2019 19:15	Offline	0.0	OFF	0.0	CLOSED
3	11/02/2019 19:30	A	44.3	OFF	110.0	CLOSED
2	11/02/2019 19:30	B	54.7	OFF	110.0	CLOSED
1	11/02/2019 19:30	Offline	0.0	OFF	0.0	CLOSED
3	11/02/2019 19:45	A	44.3	OFF	110.0	CLOSED
2	11/02/2019 19:45	B	54.7	OFF	110.0	CLOSED
1	11/02/2019 19:45	Offline	0.0	OFF	0.0	CLOSED
3	11/02/2019 20:00	A	44.2	OFF	110.0	CLOSED
2	11/02/2019 20:00	B	54.5	OFF	110.0	CLOSED
1	11/02/2019 20:00	Offline	0.0	OFF	0.0	CLOSED
3	11/02/2019 20:15	A	44.2	OFF	110.0	CLOSED
2	11/02/2019 20:15	B	54.4	OFF	110.0	CLOSED
1	11/02/2019 20:15	Offline	0.0	OFF	0.0	CLOSED
3	11/02/2019 20:30	A	44.2	OFF	110.0	CLOSED
2	11/02/2019 20:30	B	54.6	OFF	110.0	CLOSED
1	11/02/2019 20:30	Offline	0.1	OFF	0.0	CLOSED
3	11/02/2019 20:45	A	44.2	OFF	110.0	CLOSED
2	11/02/2019 20:45	B	54.5	OFF	110.0	CLOSED
1	11/02/2019 20:45	Offline	0.0	OFF	0.0	CLOSED
3	11/02/2019 21:00	A	44.6	OFF	110.0	CLOSED
2	11/02/2019 21:00	B	54.8	OFF	110.0	CLOSED
1	11/02/2019 21:00	Offline	0.1	OFF	0.0	CLOSED
3	11/02/2019 21:15	A	44.4	OFF	110.0	CLOSED
2	11/02/2019 21:15	B	54.8	OFF	110.0	CLOSED
1	11/02/2019 21:15	Offline	0.0	OFF	0.0	CLOSED
